Org_Name,Program_or_Clinic_Name,Parent_Org,Org_Type,Website,Main_Phone,General_Email,Main_Address_Line1,City_Town,State,ZIP,County,Number_of_Locations,Service_Area,Location_Type,Telehealth_Available,Telehealth_Service_Area,Serves_Refugees,Serves_Asylum_Seekers,Serves_Undocumented,Serves_Regardless_of_Immigration_Status,Specific_Communities_Focus,Service_Modalities,Clinical_Therapy,Psychiatric_Services,Home_or_Community_Based_Services,Traditional_or_Cultural_Healing,Immigration_Case_Evals_Asylum,Immigration_Legal_Services_Onsite_or_Partner,Legal_Mental_Health_Integrated,Settings,Other_Support_Description,Languages_Spoken_By_Staff_Other_Than_English,Bilingual_Clinicians_Languages,Interpreter_Services_Available,Interpreter_Languages,Cultural_Specific_Programs,Accepts_MassHealth,Accepts_Medicare,Accepts_Commercial_Insurance,Serves_Uninsured,Sliding_Scale_or_Low_Cost,Payment_Notes,Eligibility_Criteria,Other_Special_Expertise,Key_Programs_for_Immigrants,Community_Partners,Qualitative_Notes,Data_Source,Source_URL,,Latitude,Longitude,"Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Mass 211","211 Information and Referral – Statewide including Essex County","Mass 211 / United Way","Other (navigation/referral)",https://www.mass211.org,"Dial 211; toll-free: (877) 211-6277; TTY: (508) 370-4890",Unknown,"N/A (phone and online)",N/A,MA,N/A,"Statewide (serves Essex County)",Statewide,Telehealth-only,Yes,Statewide,Unknown,Unknown,Unknown,Unknown,Unknown,"Other (information; referral; navigation)",No,No,No,No,Unknown,Unknown,Unknown,Telehealth-only,"24/7 free information and referral for mental health, crisis, substance use, food, housing, and other community services; available in multiple languages","Multiple (via interpreter)",Unknown,Yes,"Multiple languages",Unknown,Unknown,Unknown,Unknown,Yes,Unknown,"Free; no insurance required","Any Massachusetts resident","Mental health resource navigation; connects to crisis services","All community providers; 988; Samaritans","Mass 211 is a free 24/7 information and referral service for all community resources including mental health and crisis services, explicitly covering Essex County. Available by phone (dial 211), online, and via TTY. Multiple languages available. Particularly useful for initial navigation when someone is unsure where to begin.","Mass.gov DMH Statewide Resources",https://www.mass211.org,,,,42.531928,-70.911633,0.6,intersection,"Ave A and N St",,"Salem, MA 01970",,,"Ave A",,,Salem,MA,,"Essex County",01970,US,,"© OpenStreetMap contributors",,
"Mass Bay Counseling","Outpatient Mental Health and Substance Use Counseling – Quincy","Mass Bay Counseling","Private Practice – Group",https://www.massbaycounseling.com,617-786-0137,Unknown,"21 Thomas McGrath Highway, Suite 202",Quincy,MA,2169,Norfolk,1,"Quincy and surrounding communities",Hybrid,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Family Therapy; Group Therapy; Psychiatric Medication Management",Yes,Yes,No,No,No,No,No,"Clinic; Telehealth","Outpatient mental health and substance use counseling; individual, couples, family, and group therapy; psychiatric medication management",Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,"Call for insurance and payment details","Adults; youth; families",Unknown,Unknown,Unknown,"Mass Bay Counseling provides outpatient mental health and substance use counseling in Quincy, offering individual, family, couples, and group therapy, and psychiatric medication management, with telehealth available.","City of Quincy Health Department listing",https://www.quincyma.gov/departments/health/health_department_information/mental_health.php,,42.269864,-70.950738,0.92,rooftop,"21 Thomas St","Ste 202","Quincy, MA 02169",,21,"Thomas St",Ste,202,Quincy,MA,,"Norfolk County",02169,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnfh49l4268mqp5yhkxfxtr6jxeg-s3bax9vh2lqn5,building_centroid
"Mass General Brigham (MGH North Shore Physicians Group)","North Shore Medical Center – Child and Adolescent Psychiatry Outpatient","Mass General Brigham","Hospital Outpatient",https://www.massgeneral.org/north-shore-physicians-group,Unknown,Unknown,"490 Lynnfield Street",Lynn,MA,1904,Essex,1,"South Essex County; North Shore",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Psychiatric Medication Management; Family Therapy",Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Clinic,"Child and adolescent outpatient psychiatry; behavioral modification; ADHD evaluation; anxiety/depression treatment; family psychoeducation",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,"MassHealth, Medicare, commercial insurance accepted","Children and adolescents","Child psychiatry; ADHD; anxiety/depression","MGB system (MGH; McLean)","North Shore Medical Center (MGB) in Lynn also provides child and adolescent outpatient psychiatry in addition to the adult outpatient services already listed in Batch 1, serving children and teens with ADHD, anxiety, depression, and behavioral disorders.",mentalhealthcenters.net,https://www.mentalhealthcenters.net/clinics/massachusetts/essex-county.html,,,42.501937,-70.978582,1,range_interpolation,"490 Lynnfield St",,"Lynn, MA 01904",,490,"Lynnfield St",,,Lynn,MA,,"Essex County",01904,US,,"TIGER/Line® from the US Census Bureau",gcod_usnrua9ugcxafmg34mwrx59mq2paa,
"Massachusetts 2-1-1","Community Information and Referral – Mental Health and Social Services","United Way of Massachusetts Bay and Merrimack Valley",Other,https://www.mass211.org,"211 (call from any MA phone)",Unknown,Statewide,Statewide,MA,N/A,Statewide,1,"Statewide Massachusetts, including all Norfolk County residents",Telehealth-only,Yes,Statewide,Unknown,Unknown,Unknown,Unknown,Unknown,"Other – information, referral, and navigation for mental health and community services",No,No,No,No,No,No,No,"Telehealth-only (phone)","24/7 free, confidential information and referral line; connects individuals to child and elder care, emergency food and shelter, substance abuse treatment, mental health services, and educational/vocational assistance; translation services available in 140+ languages; operated by United Way; dial 211 from any MA phone","140+ languages via interpretation",Unknown,Yes,"140+ languages",No,No,No,No,No,No,"Free; no insurance required","Anyone in Massachusetts","Mental health navigation and referral; social services coordination","Translation in 140+ languages; accessible to immigrants and non-English speakers","United Way; state agencies; community organizations","Massachusetts 2-1-1 is a free 24/7 information and referral line serving all Norfolk County residents. By dialing 211, callers can access information and referrals for mental health services, substance use treatment, emergency food and shelter, and other social services, with interpretation available in over 140 languages.","Quincy/Braintree Family Network Resource Directory; Mass 2-1-1 website",https://www.mass211.org,,42.15652,-71.489592,1,state,,,MA,,,,,,,MA,,,,US,,"TIGER/Line® from the US Census Bureau",,
"Massachusetts Alliance for Families (MAFF)","MAFF – Peer Family Support for Families of Adults with Mental Illness","Massachusetts Alliance for Families","Peer-Run/Mutual Aid",https://www.maff.us/,Unknown,Unknown,"Unknown (Boston area)",Boston,MA,Unknown,Suffolk,Unknown,"Statewide including Suffolk County",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Family members of adults with serious mental illness","Support Groups; Psychoeducation; Peer Support; Advocacy; Referrals",No,No,No,No,No,No,No,"Community Center; Telehealth","Peer-led support groups for family members; Family-to-Family education program (NAMI model); advocacy for improved services; navigation help for families",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Free,"Family members of adults with serious mental illness in Massachusetts","Family mental health navigation; peer support; advocacy",Unknown,"NAMI MA; MA DMH; mental health community","MAFF provides peer-led support groups, education, and advocacy for family members of adults with serious mental illness across Massachusetts including Suffolk County. Programs focus on family education, system navigation, and peer connection to reduce caregiver burden.","MAFF website",https://www.maff.us/,,0,0,0,,,,,,"Could not geocode address. No matches found.",,,,,,,,,,,,,
"Massachusetts Alliance of Portuguese Speakers (MAPS)","MAPS – Cambridge (Metro Boston)","Massachusetts Alliance of Portuguese Speakers","Community-Based Organization",https://www.maps-inc.org,"(617) 864-7600",Unknown,"1046 Cambridge Street",Cambridge,MA,2139,Middlesex,"Multiple (Cambridge, Somerville, Brighton, Dorchester)","Greater Boston area; Portuguese-speaking communities",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Portuguese-speaking communities; Brazilian; Cape Verdean","Domestic Violence Advocacy; Family Support; Immigrant Integration Services; HIV/STI Prevention; Case Management; Community Outreach",No,No,No,No,No,No,No,"Community Center","Translation and notary services; elder services; citizenship assistance; intimate partner violence education; language courses; medical case management",Portuguese,Portuguese,Unknown,Unknown,"Portuguese-speaking; Brazilian immigrant community",Unknown,Unknown,Unknown,Unknown,Unknown,"By appointment (617-864-7600 – open by appointment only)","Portuguese-speaking immigrants; low-income","Medical case management; DV advocacy; elder services; immigrant integration",Unknown,"MAPS serves Portuguese-speaking communities in Cambridge and greater Boston, offering domestic violence services, family support, immigrant integration, HIV prevention, elder services, and translation. The Cambridge office is available by appointment. The DMH Metro Boston directory notes it helps Haitian women and other immigrants with resettlement and support.","DMH Metro Boston Multicultural Directory (2019)",https://www.maps-inc.org,,,42.372845,-71.094715,1,rooftop,"1046 Cambridge St",,"Cambridge, MA 02139",,1046,"Cambridge St",,,Cambridge,MA,,"Middlesex County",02139,US,,"City of Cambridge",gcod_usn3vagnf96f7pl788hb9bwkfnffc,
"Massachusetts Alliance of Portuguese Speakers (MAPS)","MAPS – Lowell Office","Massachusetts Alliance of Portuguese Speakers","Community-Based Organization",https://www.maps-inc.org,"(978) 970-1250",Unknown,"11 Mill Street",Lowell,MA,1852,Middlesex,"Multiple (Cambridge, Lowell, Somerville, Brighton, Dorchester)","Lowell area and greater Massachusetts; Portuguese-speaking communities",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Portuguese-speaking; Brazilian; Cape Verdean","Domestic Violence Advocacy; Immigrant Integration Services; Citizenship Assistance; Family Support; ESOL",No,No,No,No,No,No,No,"Community Center","Translation and notary services; elder services; employment and career assistance; intimate partner violence advocacy; health community project",Portuguese,Portuguese,Unknown,Unknown,"Portuguese-speaking; Brazilian immigrant community",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Portuguese-speaking immigrants; low-income","DV advocacy; immigrant integration; elder services",Unknown,"Lowell CHC; IINE Lowell","MAPS's Lowell office provides domestic violence advocacy, immigrant integration services, citizenship assistance, elder services, and employment support for Portuguese-speaking communities. Portuguese-speaking staff provide translation and notary services.","DMH NE Multicultural Directory (2019); MAPS website",https://www.maps-inc.org,,42.637623,-71.305013,1,range_interpolation,"11 Mill St",,"Lowell, MA 01852",,11,"Mill St",,,Lowell,MA,,"Middlesex County",01852,US,,"TIGER/Line® from the US Census Bureau",gcod_usnrwpg4rza7uskfadcc7udcncufe,
"Massachusetts Alliance of Portuguese Speakers (MAPS)","Mental Health and Social Services for Portuguese-Speaking Communities",MAPS,"Immigrant/Refugee Service Organization",https://www.maps-inc.org,617-864-7600,Unknown,"68 Central Square",Cambridge,MA,2139,"Middlesex (Cambridge office); serves statewide including Norfolk County",1,"Statewide Massachusetts; significant Brazilian and Portuguese populations in Quincy (Norfolk County)",Hybrid,Yes,Statewide,Unknown,Unknown,Unknown,"Yes – serves all regardless of immigration status","Brazilian; Portuguese; Cape Verdean; Azorean; other Portuguese-speaking communities","Care Coordination; Case Management; Other – social services, mental health navigation, counseling referrals",Unknown,No,No,No,No,No,No,"Community Center","Services for Portuguese-speaking immigrants; mental health navigation and referral; case management; social services; ESL; employment; legal assistance referral; health navigation; cultural and linguistically specific programming for Brazilian community including Quincy/South Shore","Portuguese; Cape Verdean Creole",Portuguese,Yes,"Portuguese; Cape Verdean Creole","Yes – Portuguese/Brazilian community specific",No,No,No,No,No,"Free or low-cost community services","Portuguese-speaking immigrants and families regardless of immigration status","Portuguese immigrant community navigation; mental health referrals","Serves all Portuguese-speaking immigrants regardless of status; multilingual","Mass General Brigham; community health centers; Brazilian Worker Center","The Massachusetts Alliance of Portuguese Speakers (MAPS) provides culturally and linguistically specific social services, mental health navigation, and community support for Brazilian, Portuguese, and Cape Verdean immigrants in Massachusetts, including Quincy's large Brazilian community in Norfolk County.","Org website; MIRA Coalition",https://www.maps-inc.org,,42.062623,-71.248044,1,rooftop,"68 Central St",,"Foxboro, MA 02035",,68,"Central St",,,Foxboro,MA,,"Norfolk County",02035,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn34jedalzgzu6gxzskqwa26j8uf,building_centroid
"Massachusetts Alliance on Teen Pregnancy","Boston GLASS – Drop-In Center for LGBTQ+ Youth of Color (operated by JRI Health)","Justice Resource Institute (JRI Health)","Community-Based Organization",https://www.bostonglass.org/,Unknown,Unknown,"95 Berkeley Street",Boston,MA,2116,Suffolk,1,"Boston / Greater Boston","In-person only",No,Unknown,Unknown,Unknown,Unknown,Unknown,"LGBTQ+ youth of color ages 13–29; at-risk for HIV/STIs; youth experiencing homelessness; commercial sexual exploitation","Case Management; Support Groups; Peer Support; Clinical Services; Care Coordination; Referrals",Yes,No,No,No,No,No,No,"Community Center","Dynamic, welcoming drop-in center; clinical case management; mental health support; HIV/STI testing (free, no insurance required); PrEP services; supportive social services; HIV prevention",Unknown,Unknown,Unknown,Unknown,"LGBTQ+ youth of color-specific programming; HIV prevention",Yes,Unknown,Yes,Yes,Unknown,"Insurance accepted but not required; HIV testing and PrEP free","LGBTQ+ youth of color ages 13–29; all income levels; no insurance required for testing","LGBTQ+ youth mental health; HIV prevention; youth experiencing homelessness","LGBTQ+ immigrant youth and youth of color","Fenway Health; MAP for Health; youth shelters","Boston GLASS (a program of JRI Health) is a dynamic drop-in center for LGBTQ+ youth of color ages 13–29, offering mental health case management, supportive services, HIV/STI testing, and PrEP navigation. Insurance is accepted but not required for testing and PrEP. It serves many youth at risk for homelessness, commercial sexual exploitation, and violence.","MAP for Health; Codman Health Center website; JRI website",https://www.bostonglass.org/,,42.34729,-71.070819,1,rooftop,"95 Berkeley St",,"Boston, MA 02116",,95,"Berkeley St",,,Boston,MA,,"Suffolk County",02116,US,,"City of Boston",gcod_usnsw8zxal825vj9at9dd9lc66q43,building_centroid
"Massachusetts Alliance on Teen Pregnancy / Let's Be Honest Program","Unknown – refer to org for current program list",Unknown,Other,Unknown,Unknown,Unknown,Unknown,Boston,MA,Unknown,Suffolk,Unknown,"Boston / Statewide",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,0,0,0,,,,,,"Could not geocode address. No matches found.",,,,,,,,,,,,,
"Massachusetts Behavioral Health Access (MABHA)","Online Directory & Service Finder – Statewide","Massachusetts Behavioral Health Partnership (MBHP)","Other (Statewide Resource)",https://www.mabhaccess.com,Unknown,Unknown,"Statewide (online)",Statewide,MA,Statewide,Statewide/Bristol,"1 (virtual)","All of Massachusetts including Bristol County",Telehealth-only,Yes,Massachusetts,Unknown,Unknown,Unknown,Unknown,Unknown,"Care Coordination; Referral",No,No,No,No,No,No,No,Telehealth-only,"Online real-time directory of available MH and SUD treatment openings; searchable by service type, location, age, language, insurance","200+ languages (via linked BHHL)",Unknown,Unknown,"Multiple languages (via BHHL)",Unknown,No,No,No,Unknown,No,"Free to use","Anyone seeking MH or SUD services in Massachusetts","Service locator for behavioral health; real-time openings",Unknown,"Mass EOHHS; all CBHCs; MH providers statewide","MABHA is a free online tool that provides real-time information on treatment openings for mental health and substance use disorder services across Massachusetts, including Bristol County providers. Accessible to providers and individuals, searchable by insurance, service type, age, and location.","MABHA website",https://www.mabhaccess.com,,0,0,0,,,,,,"Could not geocode address. No matches found.",,,,,,,,,,,,,
